Variable ID,Variable name,Variable synonyms,Trait name,Main trait abbreviation,Alternative trait abbreviations,Scale name,Trait description
CO_321:0001608,StmWSC_NIR_pct,,Stem water soluble carbohydrate,StmWSC,"STEMWSC, WSC, ",%,"Water soluble carbohydrates accumulate up to and around anthesis and are partitioned to the stem, from where they are later available as a reservoir for remobilization to the developing grains. These reserves are an important source of carbon for grain filling."
CO_321:0001609,StmWSC_Atrone_pct,,Stem water soluble carbohydrate,StmWSC,"STEMWSC, WSC, ",%,"Water soluble carbohydrates accumulate up to and around anthesis and are partitioned to the stem, from where they are later available as a reservoir for remobilization to the developing grains. These reserves are an important source of carbon for grain filling."
CO_321:0001610,SpkPho_Textile_pct,,Spike photosynthesis contribution,SpkPho,,%,Photosynthetic contribution of the spike (ear) to grain yield. 
CO_321:0001611,FE_Calc_Idx,,Fruiting efficiency,FE,,index,"The final outcome of the floret developmental rates (determining the number of floret primordia that reach the stage of fertile florets at anthesis) and the proportion of grain set per fertile floret (the opposite to grain abortion), per unit of spike weight."
CO_321:0001613,LeafPI_M_Idx,,Leaf lamina partitioning index,LeafPI,"LPI,LamPI",index,Leaf lamina partitioning index.
CO_321:0001614,LeafSPI_M_Idx,,Leaf sheath partitioning index,LeafSPI,LSPI,index,Leaf sheath partitioning index.
CO_321:0001615,TSPI_M_Idx,,True stem partitioning index,TSPI,TSPI,index,True stem partitioning index.
CO_321:0001616,SLA_M_m2kg1,,Specific leaf area,SLA,,m2/kg,A ratio of the leaf area to dry mass.
CO_321:0001617,Anet_M_umolCO2m2s2,,Leaf net photosynthesis rate,Anet,,µmol CO2/m2/s,Carbon fixation by photosynthesis.
CO_321:0001618,Asat_M_umolCO2m2s1,,Leaf light-saturated net photosynthesis,Asat,,µmol CO2/m2/s,Carbon fixation by photosynthesis at saturating light.
CO_321:0001619,Amax_M_umolCO2m2s2,,Leaf light and carbon dioxide-saturated net photosynthesis,Amax,,µmol CO2/m2/s,Carbon fixation by photosynthesis at saturating light and CO2.
CO_321:0001620,Ci_M_umolCO2mol1,,Leaf intercellular carbon dioxide concentration,Ci,,µmol CO2/mol,Intercellular carbon dioxide concentration.
CO_321:0001621,PhiPS2_M_Idx,,Leaf quantum yield of photosystem II,PhiPS2 ,,index,Quantum yield of electron transfer at PSII.
CO_321:0001622,PhiCO2_M_Idx,,Leaf quantum yield of carbon dioxide fixation,PhiCO2 ,,index,Quantum yield of carbon dioxide (CO2) fixation.
CO_321:0001623,ETR_M_μmolm2s1,,Leaf electron transport rate ,ETR,,μmol/m2/s,Transfer of electrons during photosynthesis in light saturated leaf.
CO_321:0001624,FmDA_M_Idx,,Leaf maximal fluorescence intensity,FmDL,,index,Maximal level of fluorescence intensity measured in the leaf.
CO_321:0001625,FmLA_M_Idx,,Leaf maximal fluorescence intensity,FmLA,,index,Maximal level of fluorescence intensity measured in the leaf.
CO_321:0001626,FoDA_M_Idx,,Leaf minimal fluorescence intensity,FoDA,,index,Minimal level of fluorescence intensity measured in the leaf.
CO_321:0001627,FoLA_M_Idx,,Leaf minimal fluorescence intensity,FoLA,,index,Minimal level of fluorescence intensity measured in the leaf.
CO_321:0001628,FvDA_M_Idx,,Leaf variable fluorescence ,FvDA,,index,Variable fluorescence measured in the leaf.
CO_321:0001629,FvLA_M_Idx,,leaf variable fluorescence ,FvLA,,index,Variable fluorescence measured in the leaf.
CO_321:0001630,FvDAFmDA_M_Idx,,Leaf maximum efficiency of PSII photochemistry,FvDAFmDA,,index,Maximum quantum yield of PSII measured in the leaf.
CO_321:0001631,FvLAFmLA_M_Idx,,leaf maximum efficiency of PSII photochemistry,FvLAFmLA ,,index,Maximum quantum yield of PSII measured in the leaf.
CO_321:0001632,Fs_M_Idx,,Leaf steady-state fluorescence ,Fs,,index,The fluorescence emitting during steady state.
CO_321:0001633,LeafTR_M_mmolH2Om2s1,,Leaf transpiration rate,LeafTR,Tr,mmol H2O/m2/s,Leaf transpiration rate.
CO_321:0001634,CiCa_M_Idx,,Leaf intercellular to ambient carbon dioxide ratio,CiCa ,,index,Intercellular to ambient carbon dioxide ratio.
CO_321:0001635,LI_M_pct,,Canopy light interception,LI,,%,Light energy intercepted by the canopy.
CO_321:0001636,RUE_Calc_gMJ,,Radiation use efficiency from stage to stage,RUE,,g/MJ,The amount of biomass produced per unit of intercepted solar radiation.
CO_321:0001636,RUE_Calc_gMJ_preA,,Radiation use efficiency during pre-anthesis,RUE,,g/MJ,The amount of biomass produced per unit of intercepted solar radiation.
CO_321:0001636,RUE_Calc_gMJ_GF,,Radiation use efficiency during grain filling,RUE,,g/MJ,The amount of biomass produced per unit of intercepted solar radiation.
CO_321:0001638,LeafPSSRa_M_Idx,,Pigment simple ratio chlorophyll a,LeafPSSRa,PSSRa,index,Chlorophyll content in leaf green tissue. It includes ONLY chlorophyll-a. Chlorophyll is the green pigment found in plants.
CO_321:0001639,LeafPSSRb_M_Idx,,Pigment simple ratio chlorophyll b,LeafPSSRb,PSSRb,index,Chlorophyll content in leaf green tissue. It includes ONLY chlorophyll-b. Chlorophyll is the green pigment found in plants.
CO_321:0001640,LeafR675_M_Idx,,Leaf spectral reflectance 675 nm,LeafR675,R675,index,The normalized amount of electromagnetic radiation that is reflected by the leaf at R675 nm wavelength. 
CO_321:0001641,LeafR550_M_Idx,,Leaf spectral reflectance 550 nm,LeafR550,R550,index,The normalized amount of electromagnetic radiation that is reflected by the leaf at R550 nm wavelength.
CO_321:0001642,LeafR750R550_M_Idx,,Leaf spectral reflectance 750/550 nm,LeafR750R700,R750R700,index,The normalized amount of electromagnetic radiation that is reflected by the leaf at R750/R550 nm wavelength. 
CO_321:0001643,LeafR750R700_M_Idx,,Leaf spectral reflectance 750/700 nm,LeafR750R700,R750R700,index,The normalized amount of electromagnetic radiation that is reflected by the leaf at R750/R700 nm wavelength. 
CO_321:0001644,SpkDW_Calc_gm2,,Spike dry weight at harvest,SpkDW,,g/m2,Dry weight of spike(s) at harvest.
CO_321:0001645,FLeafLLng_M_cm,,Flag leaf lamina length,FLeafLLng,,cm,Length of flag leaf lamina.
CO_321:0001646,FLeafLWid_M_mm,,Flag leaf lamina width,FLeafLWid,,mm,Width of flag leaf lamina.
CO_321:0001647,SpkGW_M_g,,Grain weight per spike,SpkGW,,g,Grain weight per spike.
CO_321:0001648,PstriSdlgResp_E_0to8,PSTRI_0_8__SEEDRESP,Stripe rust seedling response,PstriSdlgResp,"YRustResp, YRResp, PSTRIL",0-8 Rust infection type,Stripe rust (yellow rust) response in the seedlings caused by the agent Puccinia striiformis f.sp. tritici. 
CO_321:0001649,LRollSev_E_1to5,,Leaf rolling severity,LRollSev,,1-5 LRoll scale,"Severity of leaf rolling, usually scored under drought stress. "
CO_321:0001650,LRollInc_E_pct,,Leaf rolling incidence,LRollInc,,%,"Incidence of leaf rolling, usually scored under drought stress. "
CO_321:0001651,ISBM_E_1to5,,In-season aboveground biomass,ISBM,,1-5 scoring scale,All above-ground biomass at any developmental stage and/or at regular intervals from the emergence to physiological maturity.
CO_321:0001657,GrnTllr_Calc_GrnTllr,,Grain number per tiller,GRATIL,,grains/tiller,Number of grains per tiller.
CO_321:0001658,TllrGW_M_g,,Grain weight per tiller,GWTTILL,,g,Grain weight per tiller.
